---,ObjectModel,Category,Icon,SubCategory,SocketClassIDs,PlugClassIDs,NiceName,bShowInDrawer,VariantOf
^ABAND_BARREL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_BARREL.ABAND_BARREL'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_BARREL.ABAND_BARREL'","Derelict Freighter Salvage","","(""PROP"")","INDUSTRIAL BARREL","True","None"
^ABAND_BENCH,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_BENCH.ABAND_BENCH'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_BENCH.ABAND_BENCH'","Derelict Freighter Salvage","","(""PROP"")","INDUSTRIAL BENCH","True","None"
^ABAND_CASE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_CASE.ABAND_CASE'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_CASE.ABAND_CASE'","Derelict Freighter Salvage","","(""PROP"")","SECURE BRIEFCASE","True","None"
^ABAND_CRATE_L,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_CRATE_L.ABAND_CRATE_L'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_CRATE_L.ABAND_CRATE_L'","Derelict Freighter Salvage","","(""PROP"")","STORAGE UNIT","True","None"
^ABAND_CRATE_M,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_CRATE_M.ABAND_CRATE_M'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_CRATE_M.ABAND_CRATE_M'","Derelict Freighter Salvage","","(""PROP"")","SALVAGE CRATE","True","None"
^ABAND_CRATE_XL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_CRATE_XL.ABAND_CRATE_XL'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_CRATE_XL.ABAND_CRATE_XL'","Derelict Freighter Salvage","","(""PROP"")","LARGE STORAGE UNIT","True","None"
^ABAND_SHELF,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/ABAND_SHELF.ABAND_SHELF'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/ABAND_SHELF.ABAND_SHELF'","Derelict Freighter Salvage","","(""PROP"")","HEAVY-DUTY FURNITURE","True","None"
^AIRLCKCONNECTOR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/AIRLCKCONNECTOR.AIRLCKCONNECTOR'","Legacy Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/AIRLCKCONNECTOR.AIRLCKCONNECTOR'","Freighter","","","","True","None"
^BARRENPLANT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BARRENPLANT.BARRENPLANT'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BARRENPLANT.BARRENPLANT'","Farming","","","ECHINOCACTUS","True","None"
^BASECAPSULE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASECAPSULE.BASECAPSULE'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASECAPSULE.BASECAPSULE'","Specialist Terminals","","","BASE SALVAGE CAPSULE","True","None"
^BASE_AQUARIUM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_AQUARIUM.BASE_AQUARIUM'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_AQUARIUM.BASE_AQUARIUM'","Planetary Glitches","","(""PROP"")","SMALL AQUARIUM","True","None"
^BASE_BARNACLE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_BARNACLE.BASE_BARNACLE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_BARNACLE.BASE_BARNACLE'","Planetary Glitches","","(""PROP"")","BARNACLE","True","None"
^BASE_BEAMSTONE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_BEAMSTONE.BASE_BEAMSTONE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_BEAMSTONE.BASE_BEAMSTONE'","Planetary Glitches","","(""PROP"")","LIGHT FISSURE","True","None"
^BASE_BONEGARDEN,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_BONEGARDEN.BASE_BONEGARDEN'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_BONEGARDEN.BASE_BONEGARDEN'","Planetary Glitches","","(""PROP"")","RATTLE SPINE","True","None"
^BASE_BUBBLECLUS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_BUBBLECLUS.BASE_BUBBLECLUS'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_BUBBLECLUS.BASE_BUBBLECLUS'","Planetary Glitches","","(""PROP"")","BUBBLE CLUSTER","True","None"
^BASE_BUBPIPE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_BUBPIPE.BASE_BUBPIPE'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_BUBPIPE.BASE_BUBPIPE'","Structural Adornments","","","BUBBLE DUCT","True","None"
^BASE_CAVE1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CAVE1.BASE_CAVE1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CAVE1.BASE_CAVE1'","Decorative Plants","","","SAUCER FUNGUS","True","None"
^BASE_CAVE2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CAVE2.BASE_CAVE2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CAVE2.BASE_CAVE2'","Decorative Plants","","","CAVE CREEPER","True","None"
^BASE_CAVE3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CAVE3.BASE_CAVE3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CAVE3.BASE_CAVE3'","Decorative Plants","","","TROGLOTULIP","True","None"
^BASE_CAVE4,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CAVE4.BASE_CAVE4'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CAVE4.BASE_CAVE4'","Decorative Plants","","","VEINED FLAT CAPS","True","None"
^BASE_CAVE5,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CAVE5.BASE_CAVE5'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CAVE5.BASE_CAVE5'","Decorative Plants","","","FINGERY DEPOSIT","True","None"
^BASE_COLDPLANT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_COLDPLANT1.BASE_COLDPLANT1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_COLDPLANT1.BASE_COLDPLANT1'","Decorative Plants","","(""PROP"")","HARDY SHRUB","True","None"
^BASE_COLDPLANT2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_COLDPLANT2.BASE_COLDPLANT2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_COLDPLANT2.BASE_COLDPLANT2'","Decorative Plants","","(""PROP"")","FROZEN PLANTER","True","None"
^BASE_COLDPLANT3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_COLDPLANT3.BASE_COLDPLANT3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_COLDPLANT3.BASE_COLDPLANT3'","Decorative Plants","","(""PROP"")","ANCIENT CONIFER","True","None"
^BASE_CONTOURPOD,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_CONTOURPOD.BASE_CONTOURPOD'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_CONTOURPOD.BASE_CONTOURPOD'","Decorative Plants","","(""PROP"")","CABLE POD","True","None"
^BASE_DUSTPLANT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_DUSTPLANT1.BASE_DUSTPLANT1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_DUSTPLANT1.BASE_DUSTPLANT1'","Decorative Plants","","(""PROP"")","BEWITCHING CACTUS","True","None"
^BASE_DUSTPLANT2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_DUSTPLANT2.BASE_DUSTPLANT2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_DUSTPLANT2.BASE_DUSTPLANT2'","Decorative Plants","","(""PROP"")","CELEBRATORY CACTUS","True","None"
^BASE_DUSTPLANT3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_DUSTPLANT3.BASE_DUSTPLANT3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_DUSTPLANT3.BASE_DUSTPLANT3'","Decorative Plants","","(""PROP"")","SUCCULENT TREE","True","None"
^BASE_ENGINEORB,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_ENGINEORB.BASE_ENGINEORB'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_ENGINEORB.BASE_ENGINEORB'","Planetary Glitches","","(""PROP"")","TERBIUM GROWTH","True","None"
^BASE_FLAG,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_FLAG.BASE_FLAG'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_FLAG.BASE_FLAG'","Portable Units","","(""PROP"")","BASE COMPUTER","True","None"
^BASE_GRASS1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS1.BASE_GRASS1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS1.BASE_GRASS1'","Decorative Plants","","","TALL SPIKEGRASS","True","None"
^BASE_GRASS2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS2.BASE_GRASS2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS2.BASE_GRASS2'","Decorative Plants","","","SHORT SPIKEGRASS","True","None"
^BASE_GRASS3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS3.BASE_GRASS3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS3.BASE_GRASS3'","Decorative Plants","","","FLATBLADE GRASS","True","None"
^BASE_GRASS4,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS4.BASE_GRASS4'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS4.BASE_GRASS4'","Decorative Plants","","","LOOPING GRASS","True","None"
^BASE_GRASS5,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS5.BASE_GRASS5'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS5.BASE_GRASS5'","Decorative Plants","","","RIBBON GRASS","True","None"
^BASE_GRASS6,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS6.BASE_GRASS6'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS6.BASE_GRASS6'","Decorative Plants","","","CLOVEN PAW GRASS","True","None"
